group	geonameid	top	left	bottom	right	slug	name
North America	6173331	49.475	-123.513	48.669	-121.777	vancouver	Vancouver
North America	6174041	48.871	-124.063	48.054	-122.568	victoria	Victoria
North America	4140963;4347778	39.631	-77.599	38.539	-76.058	dc-baltimore	Washington D.C., Baltimore
Oceania	2193733	-36.410	174.223	-37.348	175.314	auckland	Auckland
Oceania	1642911	-5.881	106.435	-6.615	107.160	jakarta	Jakarta
Oceania	2158177	-37.365	144.266	-38.552	145.810	melbourne	Melbourne
Oceania	2147714	-33.637	150.628	-34.189	151.647	sydney	Sydney
South America	3688689	5.022	-74.421	4.291	-73.767	bogota	Bogota
South America	3687238	10.572	-75.627	10.251	-75.337	cartagena	Cartagena de Indias
South America	3435910	-34.293	-58.899	-34.966	-57.992	buenos-aires	Buenos Aires
South America	3936456	-11.644	-77.294	-12.358	-76.701	lima	Lima
South America	3451190	-22.510	-43.553	-23.231	-42.850	rio-de-janeiro	Rio de Janeiro
South America	3448439	-23.125	-47.357	-24.317	-45.863	sao-paulo	Sao Paulo
South America	3871336	-33.151	-71.043	-33.824	-70.353	santiago	Santiago
